hochschulort,wohnheime_2025_anzahl,wohnheimplaetze_2025,studierende_ws_2024_2025,studierende_je_wohnheimplatz_2025
Merseburg,4,445,2632,6
Stendal,-,-,1490,-
Wernigerode,5,245,2132,9
Sachsen-Anhalt insgesamt,42,4654,49987,11
Flensburg,6,507,8706,17
Heide,1,111,1386,12
Kiel,17,2465,33465,14
Lübeck,5,581,11280,19
Wedel,1,72,978,14
"Schleswig-Holstein 
insgesamt",30,3736,55815,15
Erfurt,11,1348,9477,7
Ilmenau,13,1642,4134,3
Jena,29,3163,20121,6
Nordhausen,6,218,1753,8
Schmalkalden,2,543,2933,5
Weimar,12,1160,4576,4
Thüringen insgesamt 27),73,8074,44468,6
Deutschland insgesamt,1736,241732,2388125,10
,,,,
"Quelle: Deutsches Studentenwerk, Wohnraum für Studierende; Deutsches Zentrum für Hochschul- und Wissenschaftsforschung, Berechnungen",,,,
,,,,
Anmerkungen:,,,,
"1) Es werden nur Hochschulorte ausgewiesen, für die im aktuellen Jahr Daten zu Studentenwohnheimen vorliegen.",,,,
"2) Studierende an der FernUniversität in Hagen, Studierende an den Hochschulen der Bundeswehr und an den Verwaltungsfachhochschulen der Länder sowie berufsbegleitend Studierende wurden nicht erfasst. Studierende an privaten Hochschulen sind nur berücksichtigt, sofern eine staatliche Zuständigkeit vorliegt. Die ausgewiesene Gesamtzahl der Studierenden ist daher entsprechend niedriger als in der offiziellen Studierendenstatistik des Statistischen Bundesamtes.",,,,
,,,,
,,,,
3) Einschließlich weitere Wohnheimplätze (Privatzimmerförderung).,,,,
4) In den Jahren 2006 bis 2009 sind Werte für Mosbach einschließlich Bad Mergentheim.,,,,
5) Ab 2007 Esslingen einschließlich Göppingen.,,,,
6) Ab 2017 Heidelberg einschließlich Studierende der Medizinischen Fakultät der Universität Mannheim.,,,,
7) 2006 bis 2016 einschließlich Künzelsau.,,,,
"8) Ab 2020 einschließlich der Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg, Standort Reutlingen.",,,,
"9) In den Jahren 2002, 2003, 2006 bis 2009 und 2013 sind Werte für Ravensburg einschließlich Weingarten.",,,,
10) Bayreuth 2023 einschließlich Kulmbach. Ab 2024 wird Kulmbach separat ausgewiesen.,,,,
11) 2010 bis 2017 München einschließlich Benediktbeuern.,,,,
12) 2023 Deggendorf einschließlich des Standortes in Cham sowie 2023 und 2024 einschließlich des Standortes in Weißenburg.,,,,
13) Ab 2010 Hof einschließlich Münchberg.,,,,
14) Ab 2017 einschließlich Freising.,,,,
15) Zahl der Studierenden in Senftenberg wird 2021 bis 2023 unter Cottbus gemeldet. Für die Berechnung der Zahl der Studierenden je Wohnheimplatz für Cottbus werden daher in diesen Jahren auch die Wohnheimplätze in Senftenberg hinzugezogen.,,,,
,,,,
"16) Bis 2009 Wiesbaden einschließlich Offenbach, Rüsselsheim und Geisenheim.",,,,
"17) Da für die Hochschulorte keine aktuellen Zahlen über die Wohnheimplätze anderer Träger vorliegen, werden in 2014 und 2015 die Daten des Vorjahres übernommen, in 2016 bis 2018 werden diese Daten geschätzt und 2020 aus den Vorjahren übernommen.",,,,
,,,,
18) Bis 2016 einschließlich Recklinghausen und Heiligenhaus. Ab 2017 einschließlich Ahaus.,,,,
19) St. Augustin bis 2016 unter Bonn ausgewiesen.,,,,
20) Leverkusen bis 2016 unter Gummersbach ausgewiesen.,,,,
21) Lippstadt bis 2016 unter Hamm ausgewiesen.,,,,
22) Bis 2021 einschließlich Velbert.,,,,
23) Kleve bis 2016 unter Kamp-Lintfort ausgewiesen.,,,,
24) Bis 2016 einschließlich Bottrop.,,,,
25) Ab 2005 Zittau einschließlich Görlitz.,,,,
26) Im Jahr 2009 Köthen einschließlich Dessau.,,,,
27) Anzahl der Studierenden in Thüringen im WS 2024/2025 ist vorläufig.,,,,
,,,,
- = Keine Daten auszuweisen oder 0.,,,,
y = Daten an anderer Stelle enthalten.,,,,
,,,,
Letzte Aktualisierung: 7. Januar 2026,,,,
,,,,
Dieses Werk ist lizenziert unter einer Datenlizenz Deutschland Namensnennung 2.0.,,,,
(https://www.govdata.de/dl-de/by-2-0),,,,
