regio2,regio3,baseRent,totalRent,livingSpace,noRooms,balcony,hasKitchen,newlyConst,yearConstructed,price_per_sqm
Mülheim_an_der_Ruhr,Mitte,405.16,680.16,76.55,3.0,True,False,False,1984.0,5.292749836708034
Steinfurt_Kreis,Rheine,630.0,800.0,94.0,3.0,True,False,False,2017.0,6.702127659574468
Lippe_Kreis,Lemgo,269.59,414.59,64.81,2.0,True,False,False,1973.0,4.159697577534331
Euskirchen_Kreis,Bad_Münstereifel,515.0,,123.0,4.0,True,False,False,1975.0,4.186991869918699
Dortmund,Niederhofen,530.0,600.0,60.0,2.0,False,True,False,,8.833333333333334
Mettmann_Kreis,Ratingen,1400.0,1620.0,110.72,2.5,True,False,True,2018.0,12.644508670520231
Wuppertal,Barmen,1100.0,1430.0,117.0,3.0,True,False,False,2014.0,9.401709401709402
Wuppertal,Barmen,595.0,725.0,79.0,3.0,True,False,False,1920.0,7.531645569620253
Rhein_Erft_Kreis,Bergheim,413.22,,76.55,3.0,True,False,False,1995.0,5.398040496407577
Unna_Kreis,Kamen,653.84,882.68,81.73,3.0,False,False,True,2020.0,8.0
Essen,Frillendorf,430.0,630.0,75.0,3.0,False,False,False,1950.0,5.733333333333333
Neuss_Rhein_Kreis,Neuss,2300.0,2650.0,177.0,5.0,True,True,False,,12.994350282485875
Herne,Wanne,232.54,408.54,63.19,2.5,False,False,False,1996.0,3.680012660231049
Recklinghausen_Kreis,Recklinghausen,344.0,614.6,66.0,3.0,False,False,False,1958.0,5.212121212121212
Bottrop,Nord_Ost,430.0,573.0,59.8,3.5,True,False,False,1982.0,7.190635451505017
Recklinghausen_Kreis,Waltrop,300.0,460.0,49.56,2.0,False,False,False,1962.0,6.053268765133172
Bochum,Langendreer/Alter_Bahnhof,450.0,,71.0,4.5,False,False,False,,6.338028169014085
Düsseldorf,Garath,523.0,,54.71,2.5,True,False,False,1964.0,9.559495521842441
Rhein_Sieg_Kreis,Sankt_Augustin,780.0,960.0,63.0,2.0,True,False,True,2019.0,12.380952380952381
Bielefeld,Stieghorst,1300.0,,116.6,3.0,True,False,False,2016.0,11.149228130360207
Duisburg,Untermeiderich,350.0,590.0,65.0,3.5,False,False,False,,5.384615384615385
Bochum,Langendreer,405.0,,62.0,2.5,False,False,False,,6.532258064516129
Wuppertal,Barmen,570.0,750.0,100.0,3.0,True,False,False,1900.0,5.7
Wuppertal,Elberfeld,600.0,870.0,83.0,4.0,True,False,False,1970.0,7.228915662650603
Düsseldorf,Golzheim,1195.0,1408.0,76.24,2.0,True,True,True,2018.0,15.674186778593915
Lippe_Kreis,Bad_Salzuflen,415.0,,64.0,2.0,True,False,False,1982.0,6.484375
Duisburg,Vierlinden,394.89,535.89,72.46,3.5,False,False,False,1997.0,5.4497653878001655
Recklinghausen_Kreis,Recklinghausen,380.0,,55.0,2.0,False,True,False,1960.0,6.909090909090909
Essen,Südostviertel,440.0,510.0,49.0,2.0,False,True,False,,8.979591836734693
Essen,Bochold,400.0,,57.0,2.0,False,False,False,1966.0,7.017543859649122
Minden_Lübbecke_Kreis,Minden,417.0,,74.0,3.0,True,False,False,1966.0,5.635135135135135
Recklinghausen_Kreis,Marl,354.9,448.25,78.0,3.5,True,False,False,1992.0,4.55
Duisburg,Dellviertel,372.0,614.0,63.0,2.0,False,False,False,1960.0,5.904761904761905
Bochum,Wattenscheid_Mitte,349.73,539.73,59.58,2.5,True,False,False,1963.0,5.869922792883519
Essen,Bergerhausen,290.0,380.0,46.0,2.0,False,False,False,,6.304347826086956
Mettmann_Kreis,Erkrath,385.0,415.0,54.0,2.0,False,False,False,1920.0,7.12962962962963
Mülheim_an_der_Ruhr,Mitte,450.0,660.0,65.7,3.0,True,False,False,1958.0,6.8493150684931505
Soest_Kreis,Soest,485.0,665.0,70.0,3.0,True,False,False,,6.928571428571429
Borken_Kreis,Bocholt,890.0,,93.35,3.0,True,False,True,2019.0,9.53401178361007
Wuppertal,Langerfeld_Beyenburg,480.32,,75.05,3.0,True,False,False,1973.0,6.4
Soest_Kreis,Wickede_Ruhr,365.0,,79.0,3.0,True,False,False,1974.0,4.620253164556962
Krefeld,Stadtmitte,430.0,530.0,61.0,3.0,False,False,False,1955.0,7.049180327868853
Krefeld,Cracau,720.0,990.0,89.0,3.0,True,False,False,1959.0,8.089887640449438
Aachen,Adalbertsteinweg,580.0,695.0,58.0,2.0,False,False,False,1960.0,10.0
Hamm,Mitte,390.0,500.0,69.68,2.0,True,False,False,1938.0,5.597014925373133
Hamm,Mitte,407.28,,82.0,3.0,True,False,False,1986.0,4.966829268292683
Rhein_Erft_Kreis,Bedburg,326.46,482.46,69.0,3.0,True,False,False,1974.0,4.731304347826087
Gelsenkirchen,Buer,360.0,490.0,65.14,3.0,True,False,False,1958.0,5.52655818237642
Essen,Rüttenscheid,295.0,0.0,40.0,1.0,True,False,False,1964.0,7.375
Dortmund,Oestrich,399.0,549.0,55.81,2.5,False,False,False,1959.0,7.149256405662068
Dortmund,Innenstadt,520.0,,52.0,2.0,False,False,False,,10.0
Duisburg,Alt_Hamborn,259.0,329.0,32.49,1.0,True,False,False,1955.0,7.971683594952292
Mülheim_an_der_Ruhr,Speldorf,375.0,485.0,50.0,2.0,False,False,False,1995.0,7.5
Wuppertal,Barmen,1000.0,1300.0,100.0,2.0,True,False,False,1971.0,10.0
Wuppertal,Oberbarmen,496.57,,82.35,3.0,True,False,False,1975.0,6.0299939283545845
Herford_Kreis,Löhne,472.87,592.87,59.48,2.0,True,False,False,2002.0,7.950067249495629
Wesel_Kreis,Voerde_Niederrhein,500.0,680.0,76.47,3.0,True,False,False,1998.0,6.538511834706421
Düsseldorf,Lierenfeld,450.0,620.0,46.5,1.5,True,False,False,1984.0,9.67741935483871
